                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.29856,                0.20543,                0.80976,                0.97348,                 0.9955,                0.99412,                0.95038,                0.31134,                0.22523,                0.78507,             0.00030179,             0.00030179,             0.00030179
                      2,                0.32735,                 0.2222,                0.80974,                0.98106,                0.98613,                0.99347,                0.93293,                0.36952,                0.24842,                0.80144,             0.00058483,             0.00058483,             0.00058483
                      3,                0.33442,                0.23019,                0.80862,                0.99439,                0.98181,                0.99459,                0.94634,                0.32718,                0.23345,                0.78978,             0.00084788,             0.00084788,             0.00084788
                      4,                0.32834,                0.22378,                0.80441,                0.97986,                0.99296,                0.99379,                0.95539,                0.28989,                0.22837,                0.77631,             0.00081901,             0.00081901,             0.00081901
                      5,                0.33012,                0.22292,                0.80409,                 0.9828,                0.98596,                0.99192,                0.95411,                0.29078,                0.22131,                0.78107,             0.00081901,             0.00081901,             0.00081901
                      6,                0.33685,                0.22178,                0.80226,                0.97857,                0.98881,                0.99265,                0.95027,                0.31567,                0.25774,                0.79389,             0.00078901,             0.00078901,             0.00078901
                      7,                0.32741,                0.21851,                0.80219,                0.98661,                0.99346,                0.99459,                0.95234,                0.30343,                0.21756,                0.78752,             0.00075902,             0.00075902,             0.00075902
                      8,                0.31353,                 0.2107,                0.79617,                0.98194,                0.99435,                0.99315,                0.95335,                0.28925,                0.23316,                0.77992,             0.00072902,             0.00072902,             0.00072902
                      9,                0.30498,                0.20545,                0.79525,                0.97706,                0.99467,                0.99168,                0.95475,                0.28257,                0.23355,                0.77742,             0.00069902,             0.00069902,             0.00069902
                     10,                0.30145,                0.20479,                0.79193,                0.98191,                0.99321,                0.99348,                0.95855,                0.27317,                0.22622,                0.77576,             0.00066902,             0.00066902,             0.00066902
                     11,                0.30019,                0.20037,                0.79161,                0.98526,                0.99047,                0.99348,                0.95497,                0.28672,                0.21133,                0.77662,             0.00063903,             0.00063903,             0.00063903
                     12,                0.29216,                0.19621,                0.78819,                 0.9908,                0.99153,                0.99438,                0.95667,                0.27769,                 0.2094,                0.77423,             0.00060903,             0.00060903,             0.00060903
                     13,                0.28828,                0.19403,                0.79005,                0.97993,                0.99748,                0.99372,                0.95711,                0.28787,                0.19082,                 0.7773,             0.00057903,             0.00057903,             0.00057903
                     14,                0.28382,                0.18907,                0.78803,                0.98952,                 0.9972,                0.99318,                 0.9599,                0.26504,                0.18291,                0.77372,             0.00054904,             0.00054904,             0.00054904
                     15,                0.28293,                0.18679,                0.78641,                 0.9868,                0.99354,                0.99336,                0.96467,                0.25141,                0.18497,                0.77286,             0.00051904,             0.00051904,             0.00051904
